run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR30293611,SAMN40354550,MG1_SGP8_B4_5692A,Microbe sample from Xanthomonas arboricola pv. juglandis,2024-08-23,United Kingdom,Xanthomonas arboricola pv. juglandis,1382495267,1472545127,262068,MG1_5692A_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/011/SRR30293611/SRR30293611_1.fastq.gz'],1 GB files; 0.3 million reads; 1472.5 million sequenced bases
SRR30293616,SAMN40354533,MG1_SGP8_A12_5648,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-08-23,United Kingdom,Xanthomonas hortorum pv. pelargonii,693010811,733067199,133787,MG1_5648_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/016/SRR30293616/SRR30293616_1.fastq.gz'],693 MB files; 0.1 million reads; 733.1 million sequenced bases
SRR30293625,SAMN40354536,MG1_SGP8_C9_10261,Microbe sample from Xanthomonas citri pv. fuscans,2024-08-23,Canada,Xanthomonas citri pv. fuscans,748737708,802879291,113950,MG1_NCPPB_381_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/025/SRR30293625/SRR30293625_1.fastq.gz'],749 MB files; 0.1 million reads; 802.9 million sequenced bases
SRR25161134,SAMN36321432,10051B,Genome sequencing of X. nasturtii WHRI 10051B,2023-07-09,Portugal,Xanthomonas nasturtii,1771342572;1777954268,9408593164,31154282,10051B,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/034/SRR25161134/SRR25161134_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/034/SRR25161134/SRR25161134_2.fastq.gz']","2 GB, 2 GB files; 31.2 million reads; 9408.6 million sequenced bases"
SRR25203147,SAMN36329572,8812E,Genome sequencing of Xanthomonas strain WHRI 8812E,2023-07-09,United Kingdom,Xanthomonas sp. WHRI 8812E,291684100;291989547,1633138688,5407744,8812E,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/047/SRR25203147/SRR25203147_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/047/SRR25203147/SRR25203147_2.fastq.gz']","292 MB, 292 MB files; 5.4 million reads; 1633.1 million sequenced bases"
SRR25203149,SAMN36329570,10064A,Genome sequencing of Xanthomonas strain WHRI 10064A,2023-07-09,United Kingdom,Xanthomonas sp. WHRI 10064A,188589560;188789932,1014818150,3360325,10064A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/049/SRR25203149/SRR25203149_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/049/SRR25203149/SRR25203149_2.fastq.gz']","189 MB, 189 MB files; 3.4 million reads; 1014.8 million sequenced bases"
SRR27937202,SAMN39911792,7720,Genome sequencing of X. hortorum pv. hederae WHRI 7720,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,196399216;196454321,929730900,3099103,SPG8-MG1_D6,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/002/SRR27937202/SRR27937202_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/002/SRR27937202/SRR27937202_2.fastq.gz']","196 MB, 196 MB files; 3.1 million reads; 929.7 million sequenced bases"
SRR27937206,SAMN39911785,7185,Genome sequencing of X. hortorum pv. hederae WHRI 7185,2024-02-11,,Xanthomonas hortorum pv. hederae,197029140;197119923,930479400,3101598,SPG8-MG1_F9,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/006/SRR27937206/SRR27937206_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/006/SRR27937206/SRR27937206_2.fastq.gz']","197 MB, 197 MB files; 3.1 million reads; 930.5 million sequenced bases"
SRR27937208,SAMN39911807,7204,Genome sequencing of X. hortorum pv. hederae WHRI 7204,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,202059124;202147165,954782700,3182609,SPG8-MG1_D11,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/008/SRR27937208/SRR27937208_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/008/SRR27937208/SRR27937208_2.fastq.gz']","202 MB, 202 MB files; 3.2 million reads; 954.8 million sequenced bases"
SRR27937210,SAMN39911786,8090,Genome sequencing of X. hortorum pv. hederae WHRI 8090,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,188078502;188219946,881504100,2938347,SPG8-MG1_F3,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/010/SRR27937210/SRR27937210_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/010/SRR27937210/SRR27937210_2.fastq.gz']","188 MB, 188 MB files; 2.9 million reads; 881.5 million sequenced bases"
SRR27937211,SAMN39911805,7747Rx,Genome sequencing of X. hortorum pv. hederae WHRI 7747,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,170373508;170540892,818193000,2727310,SPG8-MG1_F1,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/011/SRR27937211/SRR27937211_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/011/SRR27937211/SRR27937211_2.fastq.gz']","170 MB, 171 MB files; 2.7 million reads; 818.2 million sequenced bases"
SRR27937213,SAMN39911784,5993,Genome sequencing of X. hortorum pv. hederae WHRI 5993,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,204912344;204996778,965655600,3218852,SPG8-MG1_B11,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/013/SRR27937213/SRR27937213_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/013/SRR27937213/SRR27937213_2.fastq.gz']","205 MB, 205 MB files; 3.2 million reads; 965.7 million sequenced bases"
SRR27937219,SAMN39911798,7732ARx,Genome sequencing of X. hortorum pv. hederae WHRI 7732A,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,170850880;171029002,818906400,2729688,SPG8-MG1_E6,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/019/SRR27937219/SRR27937219_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/019/SRR27937219/SRR27937219_2.fastq.gz']","171 MB, 171 MB files; 2.7 million reads; 818.9 million sequenced bases"
SRR27937220,SAMN39911797,7731ARx,Genome sequencing of X. hortorum pv. hederae WHRI 7731A,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,174493314;174732252,833707200,2779024,SPG8-MG1_E5,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/020/SRR27937220/SRR27937220_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/020/SRR27937220/SRR27937220_2.fastq.gz']","174 MB, 175 MB files; 2.8 million reads; 833.7 million sequenced bases"
SRR27937221,SAMN39911796,7730E,Genome sequencing of X. hortorum pv. hederae WHRI 7730E,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,197531551;197617817,934276500,3114255,SPG8-MG1_E4,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/021/SRR27937221/SRR27937221_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/021/SRR27937221/SRR27937221_2.fastq.gz']","198 MB, 198 MB files; 3.1 million reads; 934.3 million sequenced bases"
SRR28281119,SAMN40354507,MG1_SGP8_G4_8302,Genome sequencing of Xanthomonas vesicatoria strain WHRI 8302,2024-03-10,Argentina,Xanthomonas vesicatoria,190763689;190880015,904318800,3014396,MG1_SGP8_G4_8302,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/019/SRR28281119/SRR28281119_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/019/SRR28281119/SRR28281119_2.fastq.gz']","191 MB, 191 MB files; 3.0 million reads; 904.3 million sequenced bases"
SRR28281416,SAMN40354537,MG1_SGP8_C10_10262,Microbe sample from Xanthomonas citri pv. malvacearum,2024-03-10,Sudan,Xanthomonas citri pv. malvacearum,196615177;196726330,932082300,3106941,MG1_SGP8_C10_10262,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/016/SRR28281416/SRR28281416_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/016/SRR28281416/SRR28281416_2.fastq.gz']","197 MB, 197 MB files; 3.1 million reads; 932.1 million sequenced bases"
SRR28281417,SAMN40354536,MG1_SGP8_C9_10261,Microbe sample from Xanthomonas citri pv. fuscans,2024-03-10,Canada,Xanthomonas citri pv. fuscans,199966935;200090718,948914400,3163048,MG1_SGP8_C9_10261,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/017/SRR28281417/SRR28281417_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/017/SRR28281417/SRR28281417_2.fastq.gz']","200 MB, 200 MB files; 3.2 million reads; 948.9 million sequenced bases"
SRR28281418,SAMN40354535,MG1_SGP8_H5_8957,Microbe sample from Xanthomonas perforans,2024-03-10,Russia,Xanthomonas perforans,187207985;187310917,889306800,2964356,MG1_SGP8_H5_8957,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/018/SRR28281418/SRR28281418_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/018/SRR28281418/SRR28281418_2.fastq.gz']","187 MB, 187 MB files; 3.0 million reads; 889.3 million sequenced bases"
SRR28281420,SAMN40354534,MG1_SGP8_G11_8411,Microbe sample from Xanthomonas sp. WHRI 8411,2024-03-10,Not collected,Xanthomonas sp. WHRI 8411,216663878;216722954,1022044200,3406814,MG1_SGP8_G11_8411,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/020/SRR28281420/SRR28281420_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/020/SRR28281420/SRR28281420_2.fastq.gz']","217 MB, 217 MB files; 3.4 million reads; 1022.0 million sequenced bases"
SRR28281421,SAMN40354569,MG1_SGP8_G9_8391,Microbe sample from Xanthomonas sp. WHRI 8391,2024-03-10,USA,Xanthomonas sp. WHRI 8391,187698624;187836681,892214700,2974049,MG1_SGP8_G9_8391,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/021/SRR28281421/SRR28281421_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/021/SRR28281421/SRR28281421_2.fastq.gz']","188 MB, 188 MB files; 3.0 million reads; 892.2 million sequenced bases"
SRR28281432,SAMN40354559,MG1_SGP8_C4_6108,Microbe sample from Xanthomonas sp. WHRI 6108,2024-03-10,South Africa,Xanthomonas sp. WHRI 6108,175962189;176181505,841825200,2806084,MG1_SGP8_C4_6108,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/032/SRR28281432/SRR28281432_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/032/SRR28281432/SRR28281432_2.fastq.gz']","176 MB, 176 MB files; 2.8 million reads; 841.8 million sequenced bases"
SRR28281433,SAMN40354558,MG1_SGP8_C3_6106,Microbe sample from Xanthomonas sp. WHRI 6106,2024-03-10,South Africa,Xanthomonas sp. WHRI 6106,193250097;193307291,920822100,3069407,MG1_SGP8_C3_6106,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/033/SRR28281433/SRR28281433_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/033/SRR28281433/SRR28281433_2.fastq.gz']","193 MB, 193 MB files; 3.1 million reads; 920.8 million sequenced bases"
SRR28281435,SAMN40354556,MG1_SGP8_C1_6092A,Microbe sample from Xanthomonas hortorum pv. vitians,2024-03-10,Kenya,Xanthomonas hortorum pv. vitians,185502791;185613679,882611700,2942039,MG1_SGP8_C1_6092A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/035/SRR28281435/SRR28281435_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/035/SRR28281435/SRR28281435_2.fastq.gz']","186 MB, 186 MB files; 2.9 million reads; 882.6 million sequenced bases"
SRR28281437,SAMN40354554,MG1_SGP8_B8_5852,Microbe sample from Xanthomonas hortorum pv. hederae,2024-03-10,United Kingdom,Xanthomonas hortorum pv. hederae,190646575;190694328,894198300,2980661,MG1_SGP8_B8_5852,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/037/SRR28281437/SRR28281437_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/037/SRR28281437/SRR28281437_2.fastq.gz']","191 MB, 191 MB files; 3.0 million reads; 894.2 million sequenced bases"
SRR28281441,SAMN40354550,MG1_SGP8_B4_5692A,Microbe sample from Xanthomonas arboricola pv. juglandis,2024-03-10,United Kingdom,Xanthomonas arboricola pv. juglandis,197388776;197488062,939793200,3132644,MG1_SGP8_B4_5692A,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/041/SRR28281441/SRR28281441_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/041/SRR28281441/SRR28281441_2.fastq.gz']","197 MB, 197 MB files; 3.1 million reads; 939.8 million sequenced bases"
SRR28281446,SAMN40354546,MG1_SGP8_A8_5639,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,194640257;194806048,922085400,3073618,MG1_SGP8_A8_5639,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/046/SRR28281446/SRR28281446_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/046/SRR28281446/SRR28281446_2.fastq.gz']","195 MB, 195 MB files; 3.1 million reads; 922.1 million sequenced bases"
SRR28281447,SAMN40354545,MG1_SGP8_A7_5636,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,190777821;190919932,897348300,2991161,MG1_SGP8_A7_5636,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/047/SRR28281447/SRR28281447_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/047/SRR28281447/SRR28281447_2.fastq.gz']","191 MB, 191 MB files; 3.0 million reads; 897.3 million sequenced bases"
SRR28281449,SAMN40354543,MG1_SGP8_A5_5616,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-03-10,United Kingdom,Xanthomonas hortorum pv. pelargonii,173323312;173385901,827739900,2759133,MG1_SGP8_A5_5616,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/049/SRR28281449/SRR28281449_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR282/049/SRR28281449/SRR28281449_2.fastq.gz']","173 MB, 173 MB files; 2.8 million reads; 827.7 million sequenced bases"
SRR30293564,SAMN40354569,MG1_SGP8_G9_8391,Microbe sample from Xanthomonas sp. WHRI 8391,2024-08-23,USA,Xanthomonas sp. WHRI 8391,1275330341,1354121374,230580,MG1_8391Rx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/064/SRR30293564/SRR30293564_1.fastq.gz'],1 GB files; 0.2 million reads; 1354.1 million sequenced bases
SRR30293565,SAMN40354568,MG1_SGP8_G8_8370,Microbe sample from Xanthomonas sp. WHRI 8370,2024-08-23,Not collected,Xanthomonas sp. WHRI 8370,707748276,751579020,124625,MG1_8370Rx_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/065/SRR30293565/SRR30293565_1.fastq.gz'],708 MB files; 0.1 million reads; 751.6 million sequenced bases
SRR30293569,SAMN40354538,MG1_SGP8_C11_10263,Microbe sample from Xanthomonas citri pv. fuscans,2024-08-23,Not collected,Xanthomonas citri pv. fuscans,791260070,845585658,134766,MG1_NCPPB_1838_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/069/SRR30293569/SRR30293569_1.fastq.gz'],791 MB files; 0.1 million reads; 845.6 million sequenced bases
SRR30293576,SAMN39911802,7736B,Genome sequencing of X. hortorum pv. hederae WHRI 7736B,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,713844543,755472653,130049,MG1_7736B_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/076/SRR30293576/SRR30293576_1.fastq.gz'],714 MB files; 0.1 million reads; 755.5 million sequenced bases
SRR30293577,SAMN39911801,7735A,Genome sequencing of X. hortorum pv. hederae WHRI 7735A,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,1052001707,1112403567,214264,MG1_7735A_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/077/SRR30293577/SRR30293577_1.fastq.gz'],1 GB files; 0.2 million reads; 1112.4 million sequenced bases
SRR30293588,SAMN39911782,7717B,Genome sequencing of X. hortorum pv. hederae WHRI 7717B,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,740914195,786867589,133491,MG1_7717B_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/088/SRR30293588/SRR30293588_1.fastq.gz'],741 MB files; 0.1 million reads; 786.9 million sequenced bases
SRR30293591,SAMN39785613,8339,Genome sequencing of Xcc WHRI 8339,2024-08-23,Not collected,Xanthomonas campestris pv. campestris,1400276527,1481247208,328478,8339,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/091/SRR30293591/SRR30293591_1.fastq.gz'],1 GB files; 0.3 million reads; 1481.2 million sequenced bases
SRR30293592,SAMN39911807,7204,Genome sequencing of X. hortorum pv. hederae WHRI 7204,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,664932868,705007960,113408,MG1_7204_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/092/SRR30293592/SRR30293592_1.fastq.gz'],665 MB files; 0.1 million reads; 705.0 million sequenced bases
SRR30293596,SAMN39911790,7053B,Genome sequencing of X. hortorum pv. hederae WHRI 7053B,2024-08-23,United Kingdom,Xanthomonas hortorum pv. hederae,1211378943,1289551268,201036,MG1_7053B_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/096/SRR30293596/SRR30293596_1.fastq.gz'],1 GB files; 0.2 million reads; 1289.6 million sequenced bases
SRR30293608,SAMN40354553,MG1_SGP8_B7_5755,Microbe sample from Xanthomonas dyei,2024-08-23,United Kingdom,Xanthomonas dyei,1688853203,1779338091,420020,MG1_5755_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/008/SRR30293608/SRR30293608_1.fastq.gz'],2 GB files; 0.4 million reads; 1779.3 million sequenced bases
SRR30293615,SAMN40354548,MG1_SGP8_B1_5649,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-08-23,United Kingdom,Xanthomonas hortorum pv. pelargonii,588965239,627866990,97122,MG1_5649_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/015/SRR30293615/SRR30293615_1.fastq.gz'],589 MB files; 0.1 million reads; 627.9 million sequenced bases
SRR30293617,SAMN40354532,MG1_SGP8_A11_5644,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-08-23,United Kingdom,Xanthomonas hortorum pv. pelargonii,610486699,648273163,103240,MG1_5644_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/017/SRR30293617/SRR30293617_1.fastq.gz'],610 MB files; 0.1 million reads; 648.3 million sequenced bases
SRR30293618,SAMN40354531,MG1_SGP8_A10_5642,Microbe sample from Xanthomonas hortorum pv. pelargonii,2024-08-23,United Kingdom,Xanthomonas hortorum pv. pelargonii,391383629,415174456,60385,MG1_5642_August_2024,WGS,GENOMIC,SINGLE,OXFORD_NANOPORE,PromethION,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR302/018/SRR30293618/SRR30293618_1.fastq.gz'],391 MB files; 0.1 million reads; 415.2 million sequenced bases
SRR25161133,SAMN36321433,10052,Genome sequencing of X. nasturtii WHRI 10052,2023-07-09,Spain,Xanthomonas nasturtii,123557953;123924944,651014756,2155678,10052,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25161133/SRR25161133_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/033/SRR25161133/SRR25161133_2.fastq.gz']","124 MB, 124 MB files; 2.2 million reads; 651.0 million sequenced bases"
SRR25203148,SAMN36329571,10064B,Genome sequencing of Xanthomonas strain WHRI 10064B,2023-07-09,United Kingdom,Xanthomonas sp. WHRI 10064B,163241129;163316872,880011088,2913944,10064B,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/048/SRR25203148/SRR25203148_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/048/SRR25203148/SRR25203148_2.fastq.gz']","163 MB, 163 MB files; 2.9 million reads; 880.0 million sequenced bases"
SRR27937203,SAMN39911782,7717B,Genome sequencing of X. hortorum pv. hederae WHRI 7717B,2024-02-11,United Kingdom,Xanthomonas hortorum pv. hederae,199190030;199256834,941726700,3139089,SPG8-MG1_B8,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina NovaSeq 6000,Genome sequencing of miscellaneous Xanthomonas from WHRI collection,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/003/SRR27937203/SRR27937203_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR279/003/SRR27937203/SRR27937203_2.fastq.gz']","199 MB, 199 MB files; 3.1 million reads; 941.7 million sequenced bases"
