study_accession	experiment_accession	experiment_title	sample_taxon_id	sample_scientific_name	experiment_library_strategy	experiment_library_source	experiment_library_selection	sample_accession	sample_alias	experiment_instrument_model	pool_member_spots	run_1_size	run_1_accession	run_1_total_spots	run_1_total_bases
SRP298331	SRX9697964	GSM4978634: control rep 2; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894299	GSM4978634	HiSeq X Ten	20200458	2331233360	SRR13267622	20200458	6060137400
SRP298331	SRX9697963	GSM4978633: control rep 1; Xanthomonas oryzae pv. oryzae; RNA-Seq	64187	Xanthomonas oryzae pv. oryzae	RNA-Seq	TRANSCRIPTOMIC	cDNA	SRS7894301	GSM4978633	HiSeq X Ten	13577768	1587793411	SRR13267621	13577768	4073330400
SRP293323	SRX9535582	amplicon seq of 1/1000-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742052	1/1000-2	Ion Torrent S5	810187	102794877	SRR13089539	810187	133234197
SRP293323	SRX9535581	amplicon seq of 1/1000-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742051	1/1000-1	Ion Torrent S5	828106	104435031	SRR13089540	828106	135617677
SRP293323	SRX9535580	amplicon seq of HN-P9	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742050	HN-P9	Ion Torrent S5	1690637	207796176	SRR13089656	1690637	305548896
SRP293323	SRX9535579	amplicon seq of HN-P8	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742049	HN-P8	Ion Torrent S5	2045091	252994351	SRR13089542	2045091	369510887
SRP293323	SRX9535578	amplicon seq of HN-P7	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742048	HN-P7	Ion Torrent S5	2420272	296468201	SRR13089543	2420272	438457130
SRP293323	SRX9535577	amplicon seq of HN-P6	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742047	HN-P6	Ion Torrent S5	1635057	201847112	SRR13089544	1635057	295365390
SRP293323	SRX9535576	amplicon seq of HN-P5	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742046	HN-P5	Ion Torrent S5	2949946	369342826	SRR13089545	2949946	538365206
SRP293323	SRX9535575	amplicon seq of HN-P4	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742045	HN-P4	Ion Torrent S5	1023827	128963955	SRR13089546	1023827	184576694
SRP293323	SRX9535574	amplicon seq of HN-P3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742044	HN-P3	Ion Torrent S5	626231	79541127	SRR13089547	626231	113087732
SRP293323	SRX9535573	amplicon seq of HN-P2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742043	HN-P2	Ion Torrent S5	1806101	225370352	SRR13089548	1806101	319084377
SRP293323	SRX9535572	amplicon seq of HN-P1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742042	HN-P1	Ion Torrent S5	714554	90123606	SRR13089549	714554	131133726
SRP293323	SRX9535571	amplicon seq of PXO79	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742041	IRRI-P3	Ion Torrent S5	1202153	143571161	SRR13089550	1202153	185375771
SRP293323	SRX9535570	amplicon seq of BJ-P10	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742040	BJ-P10	Ion Torrent S5	484475	60169934	SRR13089551	484475	88116971
SRP293323	SRX9535569	amplicon seq of BJ-P9	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742039	BJ-P9	Ion Torrent S5	1733347	214098388	SRR13089552	1733347	313466480
SRP293323	SRX9535568	amplicon seq of BJ-P8	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742038	BJ-P8	Ion Torrent S5	363562	45882589	SRR13089553	363562	65480421
SRP293323	SRX9535567	amplicon seq of BJ-P7	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742037	BJ-P7	Ion Torrent S5	1838907	230062394	SRR13089554	1838907	333573153
SRP293323	SRX9535566	amplicon seq of BJ-P6	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742036	BJ-P6	Ion Torrent S5	546891	69401577	SRR13089555	546891	100439315
SRP293323	SRX9535565	amplicon seq of BJ-P5	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742035	BJ-P5	Ion Torrent S5	1533016	192776056	SRR13089556	1533016	278223658
SRP293323	SRX9535564	amplicon seq of BJ-P4	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742034	BJ-P4	Ion Torrent S5	1380699	173048368	SRR13089557	1380699	250334544
SRP293323	SRX9535563	amplicon seq of 7/100-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742033	7/100-3	Ion Torrent S5	692970	88217878	SRR13089558	692970	114497125
SRP293323	SRX9535562	amplicon seq of 7/100-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742032	7/100-2	Ion Torrent S5	468363	58679107	SRR13089559	468363	76131210
SRP293323	SRX9535561	amplicon seq of BJ-P3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742031	BJ-P3	Ion Torrent S5	2613814	323131052	SRR13089560	2613814	472259580
SRP293323	SRX9535560	amplicon seq of 7/100-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742030	7/100-1	Ion Torrent S5	477755	61000812	SRR13089561	477755	78979101
SRP293323	SRX9535559	amplicon seq of 7/1000-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742029	7/1000-3	Ion Torrent S5	544696	69397663	SRR13089562	544696	89876328
SRP293323	SRX9535558	amplicon seq of 7/1000-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742028	7/1000-2	Ion Torrent S5	760041	98120339	SRR13089563	760041	127091964
SRP293323	SRX9535557	amplicon seq of 7/1000-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742026	7/1000-1	Ion Torrent S5	471029	60066843	SRR13089564	471029	77641692
SRP293323	SRX9535556	amplicon seq of 5/100-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742027	5/100-3	Ion Torrent S5	790860	100507314	SRR13089565	790860	130021306
SRP293323	SRX9535555	amplicon seq of 5/100-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742025	5/100-2	Ion Torrent S5	760849	97517579	SRR13089566	760849	126459216
SRP293323	SRX9535554	amplicon seq of 5/100-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742024	5/100-1	Ion Torrent S5	941573	118793887	SRR13089567	941573	153762058
SRP293323	SRX9535553	amplicon seq of 5/1000-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742023	5/1000-3	Ion Torrent S5	704609	89552975	SRR13089568	704609	115986275
SRP293323	SRX9535552	amplicon seq of 5/1000-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742022	5/1000-2	Ion Torrent S5	547998	71067861	SRR13089569	547998	92092939
SRP293323	SRX9535551	amplicon seq of 5/1000-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742021	5/1000-1	Ion Torrent S5	690089	87514787	SRR13089570	690089	113520748
SRP293323	SRX9535550	amplicon seq of BJ-P2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742020	BJ-P2	Ion Torrent S5	1290042	159694366	SRR13089571	1290042	234208003
SRP293323	SRX9535549	amplicon seq of 3/100-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742019	3/100-3	Ion Torrent S5	665680	83173937	SRR13089572	665680	107551335
SRP293323	SRX9535548	amplicon seq of 3/100-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742018	3/100-2	Ion Torrent S5	421588	53018323	SRR13089573	421588	68486228
SRP293323	SRX9535547	amplicon seq of 3/100-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742017	3/100-1	Ion Torrent S5	496359	63715073	SRR13089574	496359	82706298
SRP293323	SRX9535546	amplicon seq of 3/1000-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742016	3/1000-3	Ion Torrent S5	686852	89995082	SRR13089575	686852	116956060
SRP293323	SRX9535545	amplicon seq of 3/1000-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742015	3/1000-2	Ion Torrent S5	674737	85789374	SRR13089576	674737	111060491
SRP293323	SRX9535544	amplicon seq of 3/1000-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742014	3/1000-1	Ion Torrent S5	620808	76235012	SRR13089577	620808	98458627
SRP293323	SRX9535543	amplicon seq of 1/100-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742013	1/100-3	Ion Torrent S5	649725	81682274	SRR13089578	649725	105601915
SRP293323	SRX9535542	amplicon seq of 1/100-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742012	1/100-2	Ion Torrent S5	496909	64060668	SRR13089579	496909	82852653
SRP293323	SRX9535541	amplicon seq of CP8-14	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742011	CP8-14	Ion Torrent S5	910179	109261449	SRR13089541	910179	161597708
SRP293323	SRX9535540	amplicon seq of CP8-13	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742010	CP8-13	Ion Torrent S5	836925	97651073	SRR13089580	836925	144435741
SRP293323	SRX9535539	amplicon seq of CP8-12	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742009	CP8-12	Ion Torrent S5	1234158	140603797	SRR13089581	1234158	208902827
SRP293323	SRX9535538	amplicon seq of CP8-11	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742008	CP8-11	Ion Torrent S5	1087757	135331774	SRR13089582	1087757	197126209
SRP293323	SRX9535537	amplicon seq of CP8-10	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742007	CP8-10	Ion Torrent S5	868478	107130237	SRR13089583	868478	156613814
SRP293323	SRX9535536	amplicon seq of CP8-9	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742006	CP8-9	Ion Torrent S5	778232	96119821	SRR13089584	778232	140363071
SRP293323	SRX9535535	amplicon seq of CP8-8	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742005	CP8-8	Ion Torrent S5	899918	110173589	SRR13089585	899918	161188099
SRP293323	SRX9535534	amplicon seq of CP8-7	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742004	CP8-7	Ion Torrent S5	876835	106165172	SRR13089586	876835	140076722
SRP293323	SRX9535533	amplicon seq of PXO341	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742003	IRRI-P10	Ion Torrent S5	2606962	323176666	SRR13089587	2606962	467624554
SRP293323	SRX9535532	amplicon seq of CP8-6	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742002	CP8-6	Ion Torrent S5	460401	53745742	SRR13089588	460401	69650791
SRP293323	SRX9535531	amplicon seq of CP8-5	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742001	CP8-5	Ion Torrent S5	373518	45553852	SRR13089589	373518	58905115
SRP293323	SRX9535530	amplicon seq of CP8-4	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7742000	CP8-4	Ion Torrent S5	1244502	151619155	SRR13089590	1244502	199168360
SRP293323	SRX9535529	amplicon seq of CP8-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741999	CP8-3	Ion Torrent S5	3155464	391310009	SRR13089591	3155464	569405248
SRP293323	SRX9535528	amplicon seq of CP8-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741998	CP8-2	Ion Torrent S5	3232572	401341414	SRR13089592	3232572	584630238
SRP293323	SRX9535527	amplicon seq of CP8-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741997	CP8-1	Ion Torrent S5	1279559	157626558	SRR13089593	1279559	206900717
SRP293323	SRX9535526	amplicon seq of CP6-8	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741996	CP6-8	Ion Torrent S5	534347	62147594	SRR13089594	534347	80304105
SRP293323	SRX9535525	amplicon seq of CP6-7	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741995	CP6-7	Ion Torrent S5	804623	97587490	SRR13089595	804623	126319418
SRP293323	SRX9535524	amplicon seq of CP6-6	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741994	CP6-6	Ion Torrent S5	2306787	284479391	SRR13089596	2306787	373727048
SRP293323	SRX9535523	amplicon seq of CP6-5	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741993	CP6-5	Ion Torrent S5	3559246	438144717	SRR13089597	3559246	646259813
SRP293323	SRX9535522	amplicon seq of PXO339	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741992	IRRI-P9	Ion Torrent S5	2469467	301655860	SRR13089598	2469467	434865148
SRP293323	SRX9535521	amplicon seq of CP6-4	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741991	CP6-4	Ion Torrent S5	2831430	346624702	SRR13089599	2831430	512915815
SRP293323	SRX9535520	amplicon seq of CP6-3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741990	CP6-3	Ion Torrent S5	3079026	381484009	SRR13089600	3079026	560950368
SRP293323	SRX9535519	amplicon seq of CP6-2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741989	CP6-2	Ion Torrent S5	2707693	344431170	SRR13089601	2707693	452727051
SRP293323	SRX9535518	amplicon seq of CP6-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741988	CP6-1	Ion Torrent S5	1302959	155686656	SRR13089602	1302959	204496714
SRP293323	SRX9535517	amplicon seq of HN-P10-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741987	HN-P10-rep3	Ion Torrent S5	549018	64810611	SRR13089603	549018	83953783
SRP293323	SRX9535516	amplicon seq of HN-P10-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741986	HN-P10-rep2	Ion Torrent S5	876929	106515283	SRR13089604	876929	137658775
SRP293323	SRX9535515	amplicon seq of HN-P10-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741985	HN-P10-rep1	Ion Torrent S5	1182612	149918482	SRR13089605	1182612	194636623
SRP293323	SRX9535514	amplicon seq of WH-P10-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741984	WH-P10-rep3	Ion Torrent S5	434550	51362253	SRR13089606	434550	66822115
SRP293323	SRX9535513	amplicon seq of WH-P10-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741983	WH-P10-rep2	Ion Torrent S5	890560	109247922	SRR13089607	890560	141053462
SRP293323	SRX9535512	amplicon seq of WH-P10-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741982	WH-P10-rep1	Ion Torrent S5	1750102	222480642	SRR13089608	1750102	287773560
SRP293323	SRX9535511	amplicon seq of PXO280	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741981	IRRI-P8	Ion Torrent S5	4561369	553836525	SRR13089609	4561369	819557498
SRP293323	SRX9535510	amplicon seq of BJ-P10-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741980	BJ-P10-rep3	Ion Torrent S5	413489	48196717	SRR13089610	413489	62429219
SRP293323	SRX9535509	amplicon seq of BJ-P10-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741979	BJ-P10-rep2	Ion Torrent S5	555020	68874292	SRR13089611	555020	89073543
SRP293323	SRX9535508	amplicon seq of BJ-P10-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741978	BJ-P10-rep1	Ion Torrent S5	1156391	143801589	SRR13089612	1156391	186115862
SRP293323	SRX9535507	amplicon seq of HN-P9-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741977	HN-P9-rep3	Ion Torrent S5	455780	52427267	SRR13089613	455780	68071500
SRP293323	SRX9535506	amplicon seq of HN-P9-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741976	HN-P9-rep2	Ion Torrent S5	1055038	127315141	SRR13089614	1055038	164508654
SRP293323	SRX9535505	amplicon seq of HN-P9-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741975	HN-P9-rep1	Ion Torrent S5	761964	97931667	SRR13089615	761964	126884436
SRP293323	SRX9535504	amplicon seq of WH-P9-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741974	WH-P9-rep3	Ion Torrent S5	837816	96860636	SRR13089616	837816	125495092
SRP293323	SRX9535503	amplicon seq of WH-P9-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741973	WH-P9-rep2	Ion Torrent S5	559766	68100081	SRR13089617	559766	88251690
SRP293323	SRX9535502	amplicon seq of WH-P9-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741972	WH-P9-rep1	Ion Torrent S5	1109719	137632492	SRR13089618	1109719	177810448
SRP293323	SRX9535501	amplicon seq of BJ-P9-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741971	BJ-P9-rep3	Ion Torrent S5	1287470	155715676	SRR13089619	1287470	202605119
SRP293323	SRX9535500	amplicon seq of PXO145	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741970	IRRI-P7	Ion Torrent S5	1369883	165318174	SRR13089620	1369883	244704635
SRP293323	SRX9535499	amplicon seq of BJ-P9-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741969	BJ-P9-rep2	Ion Torrent S5	642575	78218056	SRR13089621	642575	101243078
SRP293323	SRX9535498	amplicon seq of BJ-P9-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741968	BJ-P9-rep1	Ion Torrent S5	1096442	137704454	SRR13089622	1096442	177993314
SRP293323	SRX9535497	amplicon seq of HN-P2-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741967	HN-P2-rep3	Ion Torrent S5	2818667	346575046	SRR13089623	2818667	503909505
SRP293323	SRX9535496	amplicon seq of HN-P2-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741966	HN-P2-rep2	Ion Torrent S5	2262712	277869210	SRR13089624	2262712	406706017
SRP293323	SRX9535495	amplicon seq of HN-P2-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741965	HN-P2-rep1	Ion Torrent S5	3113180	382406254	SRR13089625	3113180	562823129
SRP293323	SRX9535494	amplicon seq of WH-P2-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741964	WH-P2-rep3	Ion Torrent S5	2703932	335215334	SRR13089626	2703932	492141483
SRP293323	SRX9535493	amplicon seq of WH-P2-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741963	WH-P2-rep2	Ion Torrent S5	3070189	379255626	SRR13089627	3070189	554314149
SRP293323	SRX9535492	amplicon seq of WH-P2-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741962	WH-P2-rep1	Ion Torrent S5	2522014	309734726	SRR13089628	2522014	451257818
SRP293323	SRX9535491	amplicon seq of BJ-P2-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741961	BJ-P2-rep3	Ion Torrent S5	3129829	380743328	SRR13089629	3129829	559389165
SRP293323	SRX9535490	amplicon seq of BJ-P2-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741960	BJ-P2-rep2	Ion Torrent S5	3640529	447592969	SRR13089630	3640529	653008466
SRP293323	SRX9535489	amplicon seq of PXO99	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741959	IRRI-P6	Ion Torrent S5	1974354	244174895	SRR13089631	1974354	358170066
SRP293323	SRX9535488	amplicon seq of BJ-P2-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741958	BJ-P2-rep1	Ion Torrent S5	2899489	357058388	SRR13089632	2899489	523483664
SRP293323	SRX9535487	amplicon seq of HN-P1-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741957	HN-P1-rep3	Ion Torrent S5	3447794	433132994	SRR13089633	3447794	628294783
SRP293323	SRX9535486	amplicon seq of HN-P1-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741956	HN-P1-rep2	Ion Torrent S5	3323326	409880902	SRR13089634	3323326	594669531
SRP293323	SRX9535485	amplicon seq of HN-P1-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741955	HN-P1-rep1	Ion Torrent S5	2400696	292742280	SRR13089635	2400696	427770674
SRP293323	SRX9535484	amplicon seq of WH-P1-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741954	WH-P1-rep3	Ion Torrent S5	2568406	317120260	SRR13089636	2568406	463062928
SRP293323	SRX9535483	amplicon seq of WH-P1-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741953	WH-P1-rep2	Ion Torrent S5	2430058	301897259	SRR13089637	2430058	438793044
SRP293323	SRX9535482	amplicon seq of WH-P1-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741952	WH-P1-rep1	Ion Torrent S5	2750343	340262277	SRR13089638	2750343	499070047
SRP293323	SRX9535481	amplicon seq of BJ-P1-rep3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741951	BJ-P1-rep3	Ion Torrent S5	2410853	296449661	SRR13089639	2410853	435984105
SRP293323	SRX9535480	amplicon seq of BJ-P1-rep2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741950	BJ-P1-rep2	Ion Torrent S5	2599836	319174249	SRR13089640	2599836	464082500
SRP293323	SRX9535479	amplicon seq of BJ-P1-rep1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741949	BJ-P1-rep1	Ion Torrent S5	3113018	381086300	SRR13089641	3113018	555029807
SRP293323	SRX9535478	amplicon seq of PXO112	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741948	IRRI-P5	Ion Torrent S5	891762	112698584	SRR13089642	891762	145578727
SRP293323	SRX9535477	amplicon seq of WH-P10	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741947	WH-P10	Ion Torrent S5	2086950	258184783	SRR13089643	2086950	375318243
SRP293323	SRX9535476	amplicon seq of WH-P9	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741946	WH-P9	Ion Torrent S5	1751971	217234972	SRR13089644	1751971	314306345
SRP293323	SRX9535475	amplicon seq of WH-P8	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741945	WH-P8	Ion Torrent S5	2372962	290972153	SRR13089645	2372962	418173587
SRP293323	SRX9535474	amplicon seq of WH-P7	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741944	WH-P7	Ion Torrent S5	878836	108945787	SRR13089646	878836	158716789
SRP293323	SRX9535473	amplicon seq of WH-P6	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741943	WH-P6	Ion Torrent S5	678559	83300943	SRR13089647	678559	118949022
SRP293323	SRX9535472	amplicon seq of WH-P5	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741942	WH-P5	Ion Torrent S5	1971071	248027466	SRR13089648	1971071	359911107
SRP293323	SRX9535471	amplicon seq of WH-P4	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741941	WH-P4	Ion Torrent S5	1648374	207211276	SRR13089649	1648374	295183857
SRP293323	SRX9535470	amplicon seq of WH-P3	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741940	WH-P3	Ion Torrent S5	1430565	179854378	SRR13089650	1430565	257886059
SRP293323	SRX9535469	amplicon seq of WH-P2	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741939	WH-P2	Ion Torrent S5	2692440	334692272	SRR13089651	2692440	489602717
SRP293323	SRX9535468	amplicon seq of WH-P1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741938	WH-P1	Ion Torrent S5	3090926	383324717	SRR13089652	3090926	558187711
SRP293323	SRX9535467	amplicon seq of PXO71	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741937	IRRI-P4	Ion Torrent S5	983076	120951011	SRR13089653	983076	156136778
SRP293323	SRX9535466	amplicon seq of HN-P10	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741936	HN-P10	Ion Torrent S5	1346836	168984064	SRR13089654	1346836	244080603
SRP293323	SRX9535465	amplicon seq of 1/100-1	64187	Xanthomonas oryzae pv. oryzae	AMPLICON	GENOMIC	PCR	SRS7741935	1/100-1	Ion Torrent S5	608461	76534798	SRR13089655	608461	99107772
